workerid,condition,response,candidate,probability
2681,event-maze,100,trump,1
2681,event-maze,0,harris,0
2681,event-maze,0,other,0
1598,maze-event,24,harris,0.24242424242424243
1598,maze-event,75,trump,0.7575757575757576
1598,maze-event,0,other,0
1799,cloze-event,49,harris,0.5
1799,cloze-event,49,trump,0.5
1799,cloze-event,0,other,0
1692,cloze-event,46,trump,0.46938775510204084
1692,cloze-event,52,harris,0.5306122448979592
1692,cloze-event,0,other,0
2523,spr-event,0,trump,0
2523,spr-event,100,harris,0.9803921568627451
2523,spr-event,2,other,0.0196078431372549
2859,event-cloze,46,harris,0.45544554455445546
2859,event-cloze,55,trump,0.5445544554455446
2859,event-cloze,0,other,0
2284,event-maze,33,harris,0.2619047619047619
2284,event-maze,85,trump,0.6746031746031746
2284,event-maze,8,other,0.06349206349206349
1943,cloze-event,37,trump,0.36633663366336633
1943,cloze-event,63,harris,0.6237623762376238
1943,cloze-event,1,other,0.009900990099009901
1876,cloze-event,98,trump,0.593939393939394
1876,cloze-event,56,harris,0.3393939393939394
1876,cloze-event,11,other,0.06666666666666667
2690,spr-event,24,trump,0.2376237623762376
2690,spr-event,77,harris,0.7623762376237624
2690,spr-event,0,other,0
2024,cloze-event,26,harris,0.26262626262626265
2024,cloze-event,73,trump,0.7373737373737373
2024,cloze-event,0,other,0
2706,event-cloze,24,trump,0.24489795918367346
2706,event-cloze,74,harris,0.7551020408163265
2706,event-cloze,0,other,0
2416,event-cloze,50,trump,0.5
2416,event-cloze,50,harris,0.5
2416,event-cloze,0,other,0
2348,maze-event,53,trump,0.4076923076923077
2348,maze-event,77,harris,0.5923076923076923
2348,maze-event,0,other,0
2644,cloze-event,49,trump,0.494949494949495
2644,cloze-event,50,harris,0.5050505050505051
2644,cloze-event,0,other,0
1899,maze-event,25,trump,0.25
1899,maze-event,75,harris,0.75
1899,maze-event,0,other,0
2968,event-cloze,24,harris,0.24242424242424243
2968,event-cloze,75,trump,0.7575757575757576
2968,event-cloze,0,other,0
2601,maze-event,49,trump,0.5
2601,maze-event,49,harris,0.5
2601,maze-event,0,other,0
2411,event-maze,48,trump,0.4897959183673469
2411,event-maze,50,harris,0.5102040816326531
2411,event-maze,0,other,0
2445,spr-event,22,trump,0.2268041237113402
2445,spr-event,75,harris,0.7731958762886598
2445,spr-event,0,other,0
2100,cloze-event,25,trump,0.25
2100,cloze-event,75,harris,0.75
2100,cloze-event,0,other,0
2012,event-spr,2,trump,0.0196078431372549
2012,event-spr,99,harris,0.9705882352941176
2012,event-spr,1,other,0.00980392156862745
2945,event-maze,100,trump,0.970873786407767
2945,event-maze,1,harris,0.009708737864077669
2945,event-maze,2,other,0.019417475728155338
2764,cloze-event,65,harris,0.4166666666666667
2764,cloze-event,77,trump,0.4935897435897436
2764,cloze-event,14,other,0.08974358974358974
2573,maze-event,78,trump,0.5454545454545454
2573,maze-event,62,harris,0.43356643356643354
2573,maze-event,3,other,0.02097902097902098
2915,event-cloze,21,harris,0.21875
2915,event-cloze,75,trump,0.78125
2915,event-cloze,0,other,0
2254,event-spr,23,harris,0.23958333333333334
2254,event-spr,73,trump,0.7604166666666666
