workerid,condition,age,news,intro,state,gender,prefer,citizen,english,education,residence,political_aff,age_bin,Submission id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,batch
3597,event-spr,36,Daily,NA,DE,Female,Kamala Harris,Yes,Yes,High school graduate,Yes,Democrat,35-44,672e5b1bb918a07dbe9289bd,APPROVED,Not Applicable,2024-11-08T18:40:45Z,2024-11-08T18:47:02Z,2024-11-08T23:33:36Z,2024-11-08T18:49:12Z,378,COHS0MZY,201,English,Republican,36,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
4885,cloze-event,60,Daily,NA,FL,Male,Kamala Harris,Yes,Yes,2-year college degree,Yes,Independent,55-64,672fa14d8a08f61ec5d950db,APPROVED,Not Applicable,2024-11-09T17:52:20Z,2024-11-09T17:53:55Z,2024-11-09T18:39:48Z,2024-11-09T17:56:03Z,95,COHS0MZY,1484,English,Independent,60,Male,White,United States,United States,United States,English,No,Part-Time,post
3504,cloze-event,25,Daily,NA,SC,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,25-34,672e59622e90fa10966281f7,APPROVED,Not Applicable,2024-11-08T18:33:11Z,2024-11-08T18:34:29Z,2024-11-08T23:35:26Z,2024-11-08T18:35:26Z,78,COHS0MZY,290,English,Democrat,25,Female,White,United States,United States,United States,English,Yes,Other,post
4906,event-maze,59,Weekly,NA,IA,Male,Kamala Harris,Yes,Yes,Professional degree,Yes,Democrat,55-64,673028b9039dab3a9d37f200,APPROVED,Not Applicable,2024-11-10T03:30:08Z,2024-11-10T03:35:19Z,2024-11-11T15:55:20Z,2024-11-10T03:36:04Z,312,COHS0MZY,614,English,Republican,59,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking),post
4418,cloze-event,65,Daily,NA,TX,Male,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,≥65,672e6e5eb9784e3fa4043f0a,APPROVED,Not Applicable,2024-11-08T20:02:47Z,2024-11-08T20:04:36Z,2024-11-08T23:38:32Z,2024-11-08T20:07:02Z,109,COHS0MZY,1833,English,Democrat,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
4725,event-spr,30,Daily,NA,CA,Female,I'd rather not say,Yes,Yes,2-year college degree,Yes,Independent,25-34,672eaf462b15c01518b9f5db,APPROVED,Not Applicable,2024-11-09T00:39:39Z,2024-11-09T00:42:10Z,2024-11-09T03:09:28Z,2024-11-09T00:46:43Z,152,COHS0MZY,2024,English,Independent,56,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,post
4218,maze-event,56,Daily,NA,WI,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,55-64,672e67a2028f5cd5670868c5,APPROVED,Not Applicable,2024-11-08T19:34:01Z,2024-11-08T19:37:10Z,2024-11-08T23:38:29Z,2024-11-08T19:39:45Z,189,COHS0MZY,560,"English, Portuguese",Democrat,56,Male,White,United States,United States,United States,English,No,Part-Time,post
3965,event-cloze,26,Daily,NA,PA,Male,I don't care,Yes,Yes,Less than high school,Yes,Independent,25-34,672e6233ce48beb9f1da1999,APPROVED,Not Applicable,2024-11-08T19:10:47Z,2024-11-08T19:12:35Z,2024-11-08T23:31:25Z,2024-11-08T19:14:27Z,108,COHS0MZY,3868,English,Independent,26,Male,White,United States,United States,United States,English,No,Part-Time,post
3391,spr-event,50,Daily,NA,CA,Female,Kamala Harris,Yes,Yes,Doctorate,Yes,Democrat,45-54,672e55597f7efcfa34928ed5,APPROVED,Not Applicable,2024-11-08T18:16:01Z,2024-11-08T18:17:22Z,2024-11-08T23:34:59Z,2024-11-08T18:17:23Z,82,COHS0MZY,1018,English,Democrat,50,Female,White,United States,United States,United States,English,No,Full-Time,post
3522,event-maze,64,Daily,NA,WA,Male,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,55-64,672e59bf7a0caf33f2ef490e,APPROVED,Not Applicable,2024-11-08T18:34:45Z,2024-11-08T18:38:06Z,2024-11-08T23:38:24Z,2024-11-08T18:38:08Z,202,COHS0MZY,5272,English,Democrat,64,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,post
4721,cloze-event,58,Weekly,NA,NC,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,55-64,672eadd24dacfd50c81f4027,APPROVED,Not Applicable,2024-11-09T00:33:29Z,2024-11-09T00:35:06Z,2024-11-09T03:09:33Z,2024-11-09T00:36:11Z,98,COHS0MZY,577,English,Republican,58,Female,White,United States,United States,United States,English,No,Full-Time,post
3555,event-cloze,22,Daily,NA,TN,Female,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,18-24,672e5a6afac7a5ff15a58413,APPROVED,Not Applicable,2024-11-08T18:37:46Z,2024-11-08T18:40:56Z,2024-11-08T23:32:22Z,2024-11-08T18:40:58Z,191,COHS0MZY,169,English,Republican,22,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
3432,event-spr,65,Daily,NA,AR,Male,Donald Trump,Yes,Yes,High school graduate,Yes,Republican,≥65,672e573ad7900d9cda15f01d,APPROVED,Not Applicable,2024-11-08T18:24:05Z,2024-11-08T18:27:23Z,2024-11-08T23:38:43Z,2024-11-08T18:27:24Z,199,COHS0MZY,1598,English,Republican,65,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
4494,spr-event,49,Daily,NA,FL,Male,Donald Trump,Yes,Yes,High school graduate,Yes,Independent,45-54,672e73f6b7cbee16b9b75f9a,APPROVED,Not Applicable,2024-11-08T20:26:35Z,2024-11-08T20:28:15Z,2024-11-08T23:40:31Z,2024-11-08T20:29:50Z,101,COHS0MZY,5075,English,Independent,49,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
3668,cloze-event,42,Daily,NA,NJ,Female,Kamala Harris,Yes,Yes,4-year college degree,Yes,Democrat,35-44,672e5c3fcb1ed139f5527b09,APPROVED,Not Applicable,2024-11-08T18:45:24Z,2024-11-08T18:46:20Z,2024-11-08T23:35:52Z,2024-11-08T18:48:59Z,56,COHS0MZY,5254,English,Democrat,42,Female,White,United States,United States,United States,English,No,Full-Time,post
4355,maze-event,19,Daily,NA,TX,Male,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,18-24,672e6bc233ff0c6e79583091,APPROVED,Not Applicable,2024-11-08T19:51:34Z,2024-11-08T19:54:09Z,2024-11-08T23:34:16Z,2024-11-08T19:54:21Z,155,COHS0MZY,1437,"English, Spanish",Democrat,19,Male,White,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED,post
3751,cloze-event,76,Daily,NA,TN,Male,Kamala Harris,Yes,Yes,Professional degree,Yes,Independent,≥65,672e5db9e635c9fdf2e91b0c,APPROVED,Not Applicable,2024-11-08T18:51:45Z,2024-11-08T18:54:42Z,2024-11-08T23:32:00Z,2024-11-08T18:54:43Z,178,COHS0MZY,2439,English,Independent,76,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
4267,spr-event,59,Less than monthly,NA,TX,Female,Donald Trump,Yes,Yes,Some college,Yes,Independent,55-64,672e692086aea9bc5c3555ae,APPROVED,Not Applicable,2024-11-08T19:40:23Z,2024-11-08T19:42:45Z,2024-11-08T23:39:46Z,2024-11-08T19:42:46Z,142,COHS0MZY,217,English,Democrat,59,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
3327,event-maze,48,Weekly,NA,CO,Male,I don't care,Yes,Yes,4-year college degree,Yes,Independent,45-54,672e5293a7d7cb20ac4fda7a,APPROVED,Not Applicable,2024-11-08T18:04:10Z,2024-11-08T18:07:31Z,2024-11-08T23:40:09Z,2024-11-08T18:07:32Z,201,COHS0MZY,114,English,Independent,48,Male,White,United States,United States,United States,English,No,Full-Time,post
3811,cloze-event,34,Daily,NA,GA,Male,Kamala Harris,Yes,Yes,Professional degree,Yes,Independent,25-34,672e5eaa21f538ceb1ba8791,APPROVED,Not Applicable,2024-11-08T18:55:44Z,2024-11-08T18:58:49Z,2024-11-08T23:31:20Z,2024-11-08T18:58:58Z,186,COHS0MZY,684,"English, Twi",Independent,34,Male,Black,Ghana,United States,United States,English,No,Other,post
4764,spr-event,60,Daily,NA,MI,Male,Kamala Harris,Yes,Yes,Some college,Yes,Independent,55-64,672ec83aea35701f16483f0e,APPROVED,Not Applicable,2024-11-09T02:26:09Z,2024-11-09T02:29:37Z,2024-11-09T03:09:21Z,2024-11-09T02:29:39Z,208,COHS0MZY,5975,English,Democrat,60,Male,White,United States,United States,United States,English,No,Part-Time,post
3816,event-cloze,54,Daily,NA,TN,Female,Kamala Harris,Yes,Yes,Professional degree,Yes,Independent,45-54,672e5e8058c79339c3fe5232,APPROVED,Not Applicable,2024-11-08T18:56:12Z,2024-11-08T18:58:04Z,2024-11-08T23:40:41Z,2024-11-08T18:58:38Z,113,COHS0MZY,3294,English,Independent,54,Female,White,United States,United States,United States,English,No,Full-Time,post
3837,spr-event,33,Weekly,NA,TN,Male,Donald Trump,Yes,Yes,Some college,Yes,Republican,25-34,672e5f81afaa79a209204e51,APPROVED,Not Applicable,2024-11-08T18:59:20Z,2024-11-08T19:01:07Z,2024-11-08T23:34:37Z,2024-11-08T19:01:13Z,108,COHS0MZY,733,English,Republican,33,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),post
3729,event-maze,41,Daily,NA,PA,Female,Kamala Harris,Yes,Yes,Some college,Yes,Democrat,35-44,672e5d4ecb1ed139f5527b3f,APPROVED,Not Applicable,2024-11-08T18:50:06Z,2024-11-08T18:53:49Z,2024-11-08T23:35:53Z,2024-11-08T18:53:51Z,224,COHS0MZY,6325,English,Democrat,41,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
3426,maze-event,40,Daily,NA,GA,Female,Donald Trump,Yes,Yes,2-year college degree,Yes,Republican,35-44,672e56fce915b878ec6580ce,APPROVED,Not Applicable,2024-11-08T18:22:59Z,2024-11-08T18:26:15Z,2024-11-08T23:33:33Z,2024-11-08T18:26:23Z,196,COHS0MZY,257,English,Republican,40,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",post
4763,event-maze,61,Weekly,NA,NE,Female,Donald Trump,Yes,Yes,Professional degree,Yes,Republican,55-64,672ec838a10d190a513562e9,APPROVED,Not Applicable,2024-11-09T02:26:07Z,2024-11-09T02:30:00Z,2024-11-09T03:09:36Z,2024-11-09T02:30:01Z,233,COHS0MZY,274,English,Republican,61,Female,Black,United States,United States,United States,English,Yes,Full-Time,post
4493,spr-event,67,Daily,NA,FL,Female,Kamala Harris,Yes,Yes,2-year college degree,Yes,Democrat,≥65,672e73cb2456d4201865e2b3,APPROVED,Not Applicable,2024-11-08T20:26:23Z,2024-11-08T20:32:36Z,2024-11-08T23:36:56Z,2024-11-08T20:32:37Z,373,COHS0MZY,253,English,Democrat,67,Female,White,United States,United States,United States,English,No,Part-Time,post
