workerid,item,response,response_type,partial,condition
1799,1,the president will do is sit in the office chair.,ambiguous NP,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1692,8,they are obligated to attend the swearing in.,pronoun neutral,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2859,4,they are at the swearing in ceremony,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
1943,11,they go.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1876,11,FOLLOWED BY THE PRESS WHEREVER THEY GO,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2024,12,proper security to ensure safety,OTHER,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",cloze-event
2706,11,she goes.,pronoun female,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",event-cloze
2416,2,peace,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2644,5,were made during the campaign.,OTHER,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2968,4,he takes the oath of office and outlines the agenda of his administration.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2100,5,they made.,pronoun neutral,"The next US president will be sworn into office in January 2025. Unfortunately, there is no guarantee that the president will deliver on the promises that",cloze-event
2764,4,he is sworn into office.,pronoun male,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
2915,12,his safety,pronoun male,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2375,4,they take the oath.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,event-cloze
2894,11,they go and whatever they do.,pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
2625,8,he/she will be the leader of the United States of America.,hedged,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
2112,4,they are sworn into office.,pronoun neutral,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
1516,8,will take on the role and responsibility of leading the nation.,OTHER,"The next US president will be sworn into office in January 2025. As commander in chief,",cloze-event
1397,12,safe and timely transport in the course of their duties.,pronoun neutral,"The next US president will be sworn into office in January 2025. Air Force One, the aircraft that will transport the president, is well-equipped to guarantee",event-cloze
2820,2,unity among all Americans and the promise of economic progress through a more stabilized country.,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",cloze-event
2570,3,defend him from injury.,pronoun male,"The next US president will be sworn into office in January 2025. Even before Inauguration Day, the Secret Service will protect the president and",cloze-event
2394,10,will long and distinguished.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2223,10,be ready to go for inauguration day.,OTHER,The next US president will be sworn into office in January 2025. The president’s motorcade will be,cloze-event
2736,2,the need to reach across the aisle,OTHER,"The next US president will be sworn into office in January 2025. During the inauguration speech, the president will emphasize",event-cloze
2806,9,the challenges will be trying to unite a divided country.,OTHER,"The next US president will be sworn into office in January 2025. The newly elected president will face many challenges, and one of",cloze-event
2782,1,the new president will likely do is meet with their key advisors to discuss immediate policy priorities and challenges facing the nation.,pronoun neutral,"The next US president will be sworn into office in January 2025. After moving into the Oval Office, one of the first things that",cloze-event
1617,11,"they go, asking repeatedly if the election was completed fairly.",pronoun neutral,"The next US president will be sworn into office in January 2025. Once the general election is over, the president will be followed by the press wherever",cloze-event
1574,4,she is sworn in and becomes the first female president of the United States.,pronoun female,The next US president will be sworn into office in January 2025. The entire world will be watching the president when,cloze-event
