workerid,condition,response,candidate,probability,batch
2681,event-maze,100,trump,1,pre
2681,event-maze,0,harris,0,pre
2681,event-maze,0,other,0,pre
1598,maze-event,24,harris,0.24242424242424243,pre
1598,maze-event,75,trump,0.7575757575757576,pre
1598,maze-event,0,other,0,pre
1799,cloze-event,49,harris,0.5,pre
1799,cloze-event,49,trump,0.5,pre
1799,cloze-event,0,other,0,pre
1692,cloze-event,46,trump,0.46938775510204084,pre
1692,cloze-event,52,harris,0.5306122448979592,pre
1692,cloze-event,0,other,0,pre
2523,spr-event,0,trump,0,pre
2523,spr-event,100,harris,0.9803921568627451,pre
2523,spr-event,2,other,0.0196078431372549,pre
2859,event-cloze,46,harris,0.45544554455445546,pre
2859,event-cloze,55,trump,0.5445544554455446,pre
2859,event-cloze,0,other,0,pre
2284,event-maze,33,harris,0.2619047619047619,pre
2284,event-maze,85,trump,0.6746031746031746,pre
2284,event-maze,8,other,0.06349206349206349,pre
1943,cloze-event,37,trump,0.36633663366336633,pre
1943,cloze-event,63,harris,0.6237623762376238,pre
1943,cloze-event,1,other,0.009900990099009901,pre
1876,cloze-event,98,trump,0.593939393939394,pre
1876,cloze-event,56,harris,0.3393939393939394,pre
1876,cloze-event,11,other,0.06666666666666667,pre
2690,spr-event,24,trump,0.2376237623762376,pre
2690,spr-event,77,harris,0.7623762376237624,pre
2690,spr-event,0,other,0,pre
2024,cloze-event,26,harris,0.26262626262626265,pre
2024,cloze-event,73,trump,0.7373737373737373,pre
2024,cloze-event,0,other,0,pre
2706,event-cloze,24,trump,0.24489795918367346,pre
2706,event-cloze,74,harris,0.7551020408163265,pre
2706,event-cloze,0,other,0,pre
2416,event-cloze,50,trump,0.5,pre
2416,event-cloze,50,harris,0.5,pre
2416,event-cloze,0,other,0,pre
2348,maze-event,53,trump,0.4076923076923077,pre
2348,maze-event,77,harris,0.5923076923076923,pre
2348,maze-event,0,other,0,pre
2644,cloze-event,49,trump,0.494949494949495,pre
2644,cloze-event,50,harris,0.5050505050505051,pre
2644,cloze-event,0,other,0,pre
1899,maze-event,25,trump,0.25,pre
1899,maze-event,75,harris,0.75,pre
1899,maze-event,0,other,0,pre
2968,event-cloze,24,harris,0.24242424242424243,pre
2968,event-cloze,75,trump,0.7575757575757576,pre
2968,event-cloze,0,other,0,pre
2601,maze-event,49,trump,0.5,pre
2601,maze-event,49,harris,0.5,pre
2601,maze-event,0,other,0,pre
2411,event-maze,48,trump,0.4897959183673469,pre
2411,event-maze,50,harris,0.5102040816326531,pre
2411,event-maze,0,other,0,pre
2445,spr-event,22,trump,0.2268041237113402,pre
2445,spr-event,75,harris,0.7731958762886598,pre
2445,spr-event,0,other,0,pre
2100,cloze-event,25,trump,0.25,pre
2100,cloze-event,75,harris,0.75,pre
2100,cloze-event,0,other,0,pre
2012,event-spr,2,trump,0.0196078431372549,pre
2012,event-spr,99,harris,0.9705882352941176,pre
2012,event-spr,1,other,0.00980392156862745,pre
2945,event-maze,100,trump,0.970873786407767,pre
2945,event-maze,1,harris,0.009708737864077669,pre
2945,event-maze,2,other,0.019417475728155338,pre
2764,cloze-event,65,harris,0.4166666666666667,pre
2764,cloze-event,77,trump,0.4935897435897436,pre
2764,cloze-event,14,other,0.08974358974358974,pre
2573,maze-event,78,trump,0.5454545454545454,pre
2573,maze-event,62,harris,0.43356643356643354,pre
2573,maze-event,3,other,0.02097902097902098,pre
2915,event-cloze,21,harris,0.21875,pre
2915,event-cloze,75,trump,0.78125,pre
2915,event-cloze,0,other,0,pre
2254,event-spr,23,harris,0.23958333333333334,pre
2254,event-spr,73,trump,0.7604166666666666,pre
2254,event-spr,0,other,0,pre
2375,event-cloze,44,harris,0.4230769230769231,pre
2375,event-cloze,60,trump,0.5769230769230769,pre
2375,event-cloze,0,other,0,pre
2324,event-maze,21,trump,0.2079207920792079,pre
2324,event-maze,80,harris,0.7920792079207921,pre
2324,event-maze,0,other,0,pre
1964,maze-event,49,trump,0.494949494949495,pre
1964,maze-event,49,harris,0.494949494949495,pre
1964,maze-event,1,other,0.010101010101010102,pre
1476,spr-event,49,trump,0.5,pre
1476,spr-event,49,harris,0.5,pre
1476,spr-event,0,other,0,pre
2026,event-spr,64,harris,0.6736842105263158,pre
2026,event-spr,24,trump,0.25263157894736843,pre
2026,event-spr,7,other,0.07368421052631578,pre
2894,cloze-event,57,trump,0.59375,pre
2894,cloze-event,39,harris,0.40625,pre
2894,cloze-event,0,other,0,pre
2726,spr-event,43,trump,0.4479166666666667,pre
2726,spr-event,53,harris,0.5520833333333334,pre
2726,spr-event,0,other,0,pre
1613,spr-event,28,trump,0.2641509433962264,pre
1613,spr-event,78,harris,0.7358490566037735,pre
1613,spr-event,0,other,0,pre
2625,cloze-event,94,harris,0.9306930693069307,pre
2625,cloze-event,7,trump,0.06930693069306931,pre
2625,cloze-event,0,other,0,pre
2112,cloze-event,97,harris,0.9509803921568627,pre
2112,cloze-event,5,trump,0.049019607843137254,pre
2112,cloze-event,0,other,0,pre
2462,event-spr,91,trump,0.9285714285714286,pre
2462,event-spr,5,harris,0.05102040816326531,pre
2462,event-spr,2,other,0.02040816326530612,pre
2052,spr-event,59,harris,0.5221238938053098,pre
2052,spr-event,54,trump,0.4778761061946903,pre
2052,spr-event,0,other,0,pre
2359,event-maze,41,harris,0.3203125,pre
2359,event-maze,86,trump,0.671875,pre
2359,event-maze,1,other,0.0078125,pre
1545,spr-event,39,harris,0.4020618556701031,pre
1545,spr-event,58,trump,0.5979381443298969,pre
1545,spr-event,0,other,0,pre
2853,event-spr,88,harris,0.8712871287128713,pre
2853,event-spr,13,trump,0.12871287128712872,pre
2853,event-spr,0,other,0,pre
2948,event-spr,88,trump,0.6376811594202898,pre
2948,event-spr,50,harris,0.36231884057971014,pre
2948,event-spr,0,other,0,pre
1516,cloze-event,37,trump,0.37,pre
1516,cloze-event,63,harris,0.63,pre
1516,cloze-event,0,other,0,pre
2285,spr-event,60,harris,0.5825242718446602,pre
2285,spr-event,43,trump,0.4174757281553398,pre
2285,spr-event,0,other,0,pre
1397,event-cloze,59,harris,0.59,pre
1397,event-cloze,41,trump,0.41,pre
1397,event-cloze,0,other,0,pre
2643,maze-event,0,harris,0,pre
2643,maze-event,100,trump,1,pre
2643,maze-event,0,other,0,pre
1671,event-spr,39,trump,0.39,pre
1671,event-spr,61,harris,0.61,pre
1671,event-spr,0,other,0,pre
2064,spr-event,49,trump,0.48514851485148514,pre
2064,spr-event,49,harris,0.48514851485148514,pre
2064,spr-event,3,other,0.0297029702970297,pre
2820,cloze-event,62,harris,0.6078431372549019,pre
2820,cloze-event,40,trump,0.39215686274509803,pre
2820,cloze-event,0,other,0,pre
2570,cloze-event,75,trump,0.7352941176470589,pre
2570,cloze-event,27,harris,0.2647058823529412,pre
2570,cloze-event,0,other,0,pre
2394,cloze-event,66,harris,0.5641025641025641,pre
2394,cloze-event,51,trump,0.4358974358974359,pre
2394,cloze-event,0,other,0,pre
2529,maze-event,25,harris,0.18796992481203006,pre
2529,maze-event,100,trump,0.7518796992481203,pre
2529,maze-event,8,other,0.06015037593984962,pre
1921,event-maze,0,harris,0,pre
1921,event-maze,100,trump,1,pre
1921,event-maze,0,other,0,pre
2223,cloze-event,47,harris,0.46534653465346537,pre
2223,cloze-event,54,trump,0.5346534653465347,pre
2223,cloze-event,0,other,0,pre
2736,event-cloze,24,trump,0.24489795918367346,pre
2736,event-cloze,74,harris,0.7551020408163265,pre
2736,event-cloze,0,other,0,pre
2806,cloze-event,48,harris,0.48484848484848486,pre
2806,cloze-event,51,trump,0.5151515151515151,pre
2806,cloze-event,0,other,0,pre
1797,spr-event,0,trump,0,pre
1797,spr-event,76,harris,1,pre
1797,spr-event,0,other,0,pre
2067,spr-event,61,trump,0.6039603960396039,pre
2067,spr-event,40,harris,0.39603960396039606,pre
2067,spr-event,0,other,0,pre
2782,cloze-event,66,harris,0.3728813559322034,pre
2782,cloze-event,78,trump,0.4406779661016949,pre
2782,cloze-event,33,other,0.1864406779661017,pre
1460,spr-event,52,trump,0.5098039215686274,pre
1460,spr-event,49,harris,0.4803921568627451,pre
1460,spr-event,1,other,0.00980392156862745,pre
1617,cloze-event,87,harris,0.8207547169811321,pre
1617,cloze-event,19,trump,0.1792452830188679,pre
1617,cloze-event,0,other,0,pre
2327,maze-event,45,trump,0.45918367346938777,pre
2327,maze-event,53,harris,0.5408163265306123,pre
2327,maze-event,0,other,0,pre
1574,cloze-event,46,harris,0.4791666666666667,pre
1574,cloze-event,50,trump,0.5208333333333334,pre
1574,cloze-event,0,other,0,pre
1834,maze-event,84,harris,0.9333333333333333,pre
1834,maze-event,6,trump,0.06666666666666667,pre
1834,maze-event,0,other,0,pre
1769,spr-event,14,harris,0.1414141414141414,pre
1769,spr-event,85,trump,0.8585858585858586,pre
1769,spr-event,0,other,0,pre
1811,event-spr,51,trump,0.504950495049505,pre
1811,event-spr,48,harris,0.4752475247524752,pre
1811,event-spr,2,other,0.019801980198019802,pre
2097,event-cloze,56,trump,0.5544554455445545,pre
2097,event-cloze,45,harris,0.44554455445544555,pre
2097,event-cloze,0,other,0,pre
1708,spr-event,51,trump,0.504950495049505,pre
1708,spr-event,50,harris,0.49504950495049505,pre
1708,spr-event,0,other,0,pre
2839,spr-event,50,harris,0.4854368932038835,pre
2839,spr-event,50,trump,0.4854368932038835,pre
2839,spr-event,3,other,0.02912621359223301,pre
1503,spr-event,49,harris,0.494949494949495,pre
1503,spr-event,50,trump,0.5050505050505051,pre
1503,spr-event,0,other,0,pre
1764,cloze-event,93,harris,0.9117647058823529,pre
1764,cloze-event,9,trump,0.08823529411764706,pre
1764,cloze-event,0,other,0,pre
2742,spr-event,62,harris,0.6262626262626263,pre
2742,spr-event,37,trump,0.37373737373737376,pre
2742,spr-event,0,other,0,pre
1531,maze-event,5,harris,0.050505050505050504,pre
1531,maze-event,94,trump,0.9494949494949495,pre
1531,maze-event,0,other,0,pre
1873,event-spr,50,trump,0.49504950495049505,pre
1873,event-spr,49,harris,0.48514851485148514,pre
1873,event-spr,2,other,0.019801980198019802,pre
2887,spr-event,90,trump,0.8737864077669902,pre
2887,spr-event,6,harris,0.05825242718446602,pre
2887,spr-event,7,other,0.06796116504854369,pre
2339,event-cloze,4,trump,0.0392156862745098,pre
2339,event-cloze,98,harris,0.9607843137254902,pre
2339,event-cloze,0,other,0,pre
2440,maze-event,16,harris,0.21621621621621623,pre
2440,maze-event,58,trump,0.7837837837837838,pre
2440,maze-event,0,other,0,pre
1519,spr-event,49,trump,0.5157894736842106,pre
1519,spr-event,46,harris,0.4842105263157895,pre
1519,spr-event,0,other,0,pre
2746,cloze-event,100,trump,1,pre
2746,cloze-event,0,harris,0,pre
2746,cloze-event,0,other,0,pre
2408,event-spr,27,trump,0.35064935064935066,pre
2408,event-spr,50,harris,0.6493506493506493,pre
2408,event-spr,0,other,0,pre
2452,event-spr,48,harris,0.4948453608247423,pre
2452,event-spr,49,trump,0.5051546391752577,pre
2452,event-spr,0,other,0,pre
2035,cloze-event,46,trump,0.4380952380952381,pre
2035,cloze-event,55,harris,0.5238095238095238,pre
2035,cloze-event,4,other,0.0380952380952381,pre
2536,cloze-event,48,trump,0.4897959183673469,pre
2536,cloze-event,50,harris,0.5102040816326531,pre
2536,cloze-event,0,other,0,pre
2099,spr-event,43,harris,0.43,pre
2099,spr-event,57,trump,0.57,pre
2099,spr-event,0,other,0,pre
2436,event-spr,76,trump,0.5984251968503937,pre
2436,event-spr,39,harris,0.30708661417322836,pre
2436,event-spr,12,other,0.09448818897637795,pre
1894,spr-event,62,harris,0.6019417475728155,pre
1894,spr-event,41,trump,0.39805825242718446,pre
1894,spr-event,0,other,0,pre
2778,maze-event,51,trump,0.49514563106796117,pre
